epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,233.5382843017578,,
0,5,,,,,,175922.3125,275.0386657714844
0,5,,,968441.0625,605.4332885742188,,,
1,9,,,,,345.6114501953125,,
1,11,,,,,,139320.09375,233.66888427734375
1,11,,,194416.1875,285.8071594238281,,,
2,14,,,,,440.15240478515625,,
2,17,,,,,,133117.640625,232.43629455566406
2,17,,,197069.21875,285.13909912109375,,,
3,19,,,,,260.7037048339844,,
3,23,,,,,,157312.734375,257.49688720703125
3,23,,,174679.875,266.6651306152344,,,
4,24,,,,,197.4857635498047,,
4,29,,,,,408.92333984375,,
4,29,,,,,,138477.609375,245.82081604003906
4,29,,,183646.515625,266.86151123046875,,,
5,34,,,,,252.5765380859375,,
5,35,,,,,,120434.7421875,246.51451110839844
5,35,,,165117.234375,259.58251953125,,,
6,39,,,,,259.07110595703125,,
6,41,,,,,,118981.8828125,240.55767822265625
6,41,,,147107.421875,261.2031555175781,,,
7,44,,,,,228.75369262695312,,
7,47,,,,,,119940.1328125,247.19122314453125
7,47,,,149532.96875,243.618408203125,,,
8,49,,,,,205.5872802734375,,
8,53,,,,,,125370.046875,257.3655090332031
8,53,,,140577.34375,241.66941833496094,,,
9,54,,,,,268.5102844238281,,
9,59,,,,,272.10174560546875,,
9,59,,,,,,153265.5,263.5283508300781
9,59,,,152425.84375,250.15640258789062,,,
10,64,,,,,248.23104858398438,,
10,65,,,,,,130969.0,244.1142120361328
10,65,,,152272.5,261.5979309082031,,,
11,69,,,,,192.24459838867188,,
11,71,,,,,,121376.84375,238.44358825683594
11,71,,,147786.921875,247.37921142578125,,,
12,74,,,,,176.920166015625,,
12,77,,,,,,114471.21875,240.3860321044922
12,77,,,126842.296875,225.89418029785156,,,
13,79,,,,,286.2522277832031,,
13,83,,,,,,125037.5234375,239.83758544921875
13,83,,,140269.640625,247.4342803955078,,,
14,84,,,,,190.78965759277344,,
14,89,,,,,398.3974304199219,,
14,89,,,,,,111990.6796875,239.77503967285156
14,89,,,136313.796875,238.36703491210938,,,
15,94,,,,,222.48081970214844,,
15,95,,,,,,138397.671875,282.2671203613281
15,95,,,130578.90625,232.1599578857422,,,
16,99,,,,,211.88555908203125,,
16,101,,,,,,111075.84375,242.14854431152344
16,101,,,149774.421875,251.21603393554688,,,
17,104,,,,,252.17001342773438,,
17,107,,,,,,113500.34375,225.75039672851562
17,107,,,115581.6796875,219.42437744140625,,,
18,109,,,,,254.1295623779297,,
18,113,,,,,,106613.78125,229.43084716796875
18,113,,,140831.046875,245.1627197265625,,,
19,114,,,,,184.79473876953125,,
19,119,,,,,278.4893493652344,,
19,119,,,,,,142356.984375,251.87425231933594
19,119,,,129194.2734375,237.63461303710938,,,
20,124,,,,,221.9184112548828,,
20,125,,,,,,114971.1796875,247.2357940673828
20,125,,,141767.046875,231.99615478515625,,,
21,129,,,,,157.46853637695312,,
21,131,,,,,,110437.34375,222.2138214111328
21,131,,,138021.765625,251.74807739257812,,,
22,134,,,,,263.1185302734375,,
22,137,,,,,,112237.03125,225.49862670898438
22,137,,,140801.65625,247.2061004638672,,,
23,139,,,,,243.23187255859375,,
23,143,,,,,,102668.25,215.20086669921875
23,143,,,135601.765625,235.4828643798828,,,
24,144,,,,,240.1204833984375,,
24,149,,,,,249.50680541992188,,
24,149,,,,,,105896.671875,225.650390625
24,149,,,132605.015625,242.13546752929688,,,
25,154,,,,,207.29559326171875,,
25,155,,,,,,110702.5078125,226.49261474609375
25,155,,,129193.65625,233.2801513671875,,,
26,159,,,,,204.10601806640625,,
26,161,,,,,,100616.28125,224.78810119628906
26,161,,,121089.4609375,228.31625366210938,,,
27,164,,,,,261.9942321777344,,
27,167,,,,,,118599.75,229.8231964111328
27,167,,,125687.828125,228.34886169433594,,,
28,169,,,,,239.93560791015625,,
28,173,,,,,,147747.40625,250.33045959472656
28,173,,,126906.0546875,223.9452667236328,,,
29,174,,,,,192.24176025390625,,
29,179,,,,,260.6085205078125,,
